,Dataset,Method,Metric,Patient,Performance
94,V-23_24,MMSBM,Precision,28,0.7777777774897119
95,V-23_24,MMSBM,Accuracy,28,0.771186440677966
96,V-23_24,MMSBM,Recall,29,0.6888888888888889
97,V-23_24,MMSBM,Precision,29,0.7560975607911957
98,V-23_24,MMSBM,Accuracy,29,0.711864406779661
99,V-23_24,MMSBM,Recall,161,0.6949152542372882
100,V-23_24,MMSBM,Precision,161,0.8039215684698193
101,V-23_24,MMSBM,Accuracy,161,0.6949152542372882
102,V-23_24,MMSBM,Recall,0,0.5
103,V-23_24,MMSBM,Precision,0,0.6071428569260204
104,V-23_24,MMSBM,Accuracy,0,0.6949152542372882
105,V-23_24,MMSBM,Recall,4,0.5365853658536586
106,V-23_24,MMSBM,Precision,4,0.6285714283918368
107,V-23_24,MMSBM,Accuracy,4,0.652542372881356
108,V-23_24,MMSBM,Recall,8,0.7704918032786885
109,V-23_24,MMSBM,Precision,8,0.8392857141358419
110,V-23_24,MMSBM,Accuracy,8,0.728813559322034
111,V-23_24,MMSBM,Recall,163,0.7719298245614035
112,V-23_24,MMSBM,Precision,163,0.879999999824
113,V-23_24,MMSBM,Accuracy,163,0.7372881355932203
114,V-23_24,MMSBM,Recall,120,0.7857142857142857
115,V-23_24,MMSBM,Precision,120,0.8048780485841761
116,V-23_24,MMSBM,Accuracy,120,0.8220338983050848
117,V-23_24,MMSBM,Recall,121,0.7560975609756098
118,V-23_24,MMSBM,Precision,121,0.7948717946679815
119,V-23_24,MMSBM,Accuracy,121,0.8220338983050848
120,V-23_24,MMSBM,Recall,122,0.7142857142857143
121,V-23_24,MMSBM,Precision,122,0.79999999984
122,V-23_24,MMSBM,Accuracy,122,0.6949152542372882
123,V-23_24,MMSBM,Recall,123,0.625
124,V-23_24,MMSBM,Precision,123,0.6896551721759809
125,V-23_24,MMSBM,Accuracy,123,0.8220338983050848
126,V-23_24,MMSBM,Recall,124,0.7441860465116279
127,V-23_24,MMSBM,Precision,124,0.7111111109530864
128,V-23_24,MMSBM,Accuracy,124,0.7796610169491525
129,V-23_24,MMSBM,Recall,125,0.6551724137931034
130,V-23_24,MMSBM,Precision,125,0.759999999848
131,V-23_24,MMSBM,Accuracy,125,0.6694915254237288
132,V-23_24,MMSBM,Recall,126,0.6363636363636364
133,V-23_24,MMSBM,Precision,126,0.8076923073816568
134,V-23_24,MMSBM,Accuracy,126,0.8305084745762712
135,V-23_24,MMSBM,Recall,127,0.5714285714285714
136,V-23_24,MMSBM,Precision,127,0.639999999744
137,V-23_24,MMSBM,Accuracy,127,0.788135593220339
138,V-23_24,MMSBM,Recall,128,0.2608695652173913
139,V-23_24,MMSBM,Precision,128,0.5454545449586776
140,V-23_24,MMSBM,Accuracy,128,0.8135593220338984
141,V-23_24,MMSBM,Recall,129,0.7272727272727273
142,V-23_24,MMSBM,Precision,129,0.7441860463385613
143,V-23_24,MMSBM,Accuracy,129,0.7796610169491526
144,V-23_24,MMSBM,Recall,167,0.6923076923076923
145,V-23_24,MMSBM,Precision,167,0.8181818179958678
146,V-23_24,MMSBM,Accuracy,167,0.7711864406779662
147,V-23_24,MMSBM,Recall,59,0.71875
148,V-23_24,MMSBM,Precision,59,0.8363636362115703
149,V-23_24,MMSBM,Accuracy,59,0.6779661016949152
150,V-23_24,MMSBM,Recall,58,0.6666666666666666
151,V-23_24,MMSBM,Precision,58,0.7450980390695886
152,V-23_24,MMSBM,Accuracy,58,0.6779661016949152
153,V-23_24,MMSBM,Recall,55,0.6956521739130435
154,V-23_24,MMSBM,Precision,55,0.727272727107438
155,V-23_24,MMSBM,Accuracy,55,0.7627118644067796
